ix,iy,x,y,occupied
59,17,0.24162,-1.66986,1
60,17,0.29162,-1.66986,1
61,17,0.34162,-1.66986,1
62,17,0.39162,-1.66986,1
63,17,0.44162,-1.66986,1
64,17,0.49162,-1.66986,1
65,17,0.54162,-1.66986,1
70,17,0.79162,-1.66986,1
71,17,0.84162,-1.66986,1
72,17,0.89162,-1.66986,1
73,17,0.94162,-1.66986,1
76,17,1.09162,-1.66986,1
77,17,1.14162,-1.66986,1
81,17,1.34162,-1.66986,1
82,17,1.39162,-1.66986,1
83,17,1.44162,-1.66986,1
84,17,1.49162,-1.66986,1
85,17,1.54162,-1.66986,1
86,17,1.59162,-1.66986,1
88,17,1.69162,-1.66986,1
99,17,2.24162,-1.66986,1
100,17,2.29162,-1.66986,1
101,17,2.34162,-1.66986,1
102,17,2.39162,-1.66986,1
103,17,2.44162,-1.66986,1
104,17,2.49162,-1.66986,1
105,17,2.54162,-1.66986,1
106,17,2.59162,-1.66986,1
107,17,2.64162,-1.66986,1
108,17,2.69162,-1.66986,1
109,17,2.74162,-1.66986,1
110,17,2.79162,-1.66986,1
111,17,2.84162,-1.66986,1
112,17,2.89162,-1.66986,1
113,17,2.94162,-1.66986,1
114,17,2.99162,-1.66986,1
115,17,3.04162,-1.66986,1
116,17,3.09162,-1.66986,1
119,17,3.24162,-1.66986,1
120,17,3.29162,-1.66986,1
121,17,3.34162,-1.66986,1
122,17,3.39162,-1.66986,1
123,17,3.44162,-1.66986,1
44,18,-0.50838,-1.61986,1
47,18,-0.35838,-1.61986,1
48,18,-0.30838,-1.61986,1
49,18,-0.25838,-1.61986,1
50,18,-0.20838,-1.61986,1
51,18,-0.15838,-1.61986,1
52,18,-0.10838,-1.61986,1
53,18,-0.05838,-1.61986,1
54,18,-0.00838,-1.61986,1
55,18,0.04162,-1.61986,1
56,18,0.09162,-1.61986,1
57,18,0.14162,-1.61986,1
60,18,0.29162,-1.61986,1
61,18,0.34162,-1.61986,1
62,18,0.39162,-1.61986,1
63,18,0.44162,-1.61986,1
64,18,0.49162,-1.61986,1
67,18,0.64162,-1.61986,1
69,18,0.74162,-1.61986,1
70,18,0.79162,-1.61986,1
71,18,0.84162,-1.61986,1
72,18,0.89162,-1.61986,1
73,18,0.94162,-1.61986,1
76,18,1.09162,-1.61986,1
79,18,1.24162,-1.61986,1
81,18,1.34162,-1.61986,1
82,18,1.39162,-1.61986,1
83,18,1.44162,-1.61986,1
84,18,1.49162,-1.61986,1
99,18,2.24162,-1.61986,1
100,18,2.29162,-1.61986,1
101,18,2.34162,-1.61986,1
102,18,2.39162,-1.61986,1
103,18,2.44162,-1.61986,1
104,18,2.49162,-1.61986,1
105,18,2.54162,-1.61986,1
106,18,2.59162,-1.61986,1
107,18,2.64162,-1.61986,1
108,18,2.69162,-1.61986,1
109,18,2.74162,-1.61986,1
110,18,2.79162,-1.61986,1
111,18,2.84162,-1.61986,1
112,18,2.89162,-1.61986,1
113,18,2.94162,-1.61986,1
114,18,2.99162,-1.61986,1
115,18,3.04162,-1.61986,1
116,18,3.09162,-1.61986,1
119,18,3.24162,-1.61986,1
120,18,3.29162,-1.61986,1
121,18,3.34162,-1.61986,1
122,18,3.39162,-1.61986,1
123,18,3.44162,-1.61986,1
124,18,3.49162,-1.61986,1
40,19,-0.70838,-1.56986,1
41,19,-0.65838,-1.56986,1
42,19,-0.60838,-1.56986,1
43,19,-0.55838,-1.56986,1
44,19,-0.50838,-1.56986,1
45,19,-0.45838,-1.56986,1
46,19,-0.40838,-1.56986,1
47,19,-0.35838,-1.56986,1
48,19,-0.30838,-1.56986,1
49,19,-0.25838,-1.56986,1
50,19,-0.20838,-1.56986,1
51,19,-0.15838,-1.56986,1
52,19,-0.10838,-1.56986,1
57,19,0.14162,-1.56986,1
60,19,0.29162,-1.56986,1
61,19,0.34162,-1.56986,1
62,19,0.39162,-1.56986,1
63,19,0.44162,-1.56986,1
64,19,0.49162,-1.56986,1
65,19,0.54162,-1.56986,1
69,19,0.74162,-1.56986,1
70,19,0.79162,-1.56986,1
71,19,0.84162,-1.56986,1
72,19,0.89162,-1.56986,1
80,19,1.29162,-1.56986,1
81,19,1.34162,-1.56986,1
82,19,1.39162,-1.56986,1
83,19,1.44162,-1.56986,1
84,19,1.49162,-1.56986,1
100,19,2.29162,-1.56986,1
101,19,2.34162,-1.56986,1
102,19,2.39162,-1.56986,1
103,19,2.44162,-1.56986,1
104,19,2.49162,-1.56986,1
105,19,2.54162,-1.56986,1
106,19,2.59162,-1.56986,1
107,19,2.64162,-1.56986,1
108,19,2.69162,-1.56986,1
109,19,2.74162,-1.56986,1
110,19,2.79162,-1.56986,1
111,19,2.84162,-1.56986,1
112,19,2.89162,-1.56986,1
113,19,2.94162,-1.56986,1
114,19,2.99162,-1.56986,1
115,19,3.04162,-1.56986,1
120,19,3.29162,-1.56986,1
121,19,3.34162,-1.56986,1
122,19,3.39162,-1.56986,1
123,19,3.44162,-1.56986,1
124,19,3.49162,-1.56986,1
33,20,-1.05838,-1.51986,1
34,20,-1.00838,-1.51986,1
35,20,-0.95838,-1.51986,1
36,20,-0.90838,-1.51986,1
37,20,-0.85838,-1.51986,1
38,20,-0.80838,-1.51986,1
39,20,-0.75838,-1.51986,1
40,20,-0.70838,-1.51986,1
41,20,-0.65838,-1.51986,1
48,20,-0.30838,-1.51986,1
49,20,-0.25838,-1.51986,1
52,20,-0.10838,-1.51986,1
53,20,-0.05838,-1.51986,1
54,20,-0.00838,-1.51986,1
58,20,0.19162,-1.51986,1
60,20,0.29162,-1.51986,1
61,20,0.34162,-1.51986,1
62,20,0.39162,-1.51986,1
63,20,0.44162,-1.51986,1
64,20,0.49162,-1.51986,1
65,20,0.54162,-1.51986,1
69,20,0.74162,-1.51986,1
70,20,0.79162,-1.51986,1
71,20,0.84162,-1.51986,1
75,20,1.04162,-1.51986,1
78,20,1.19162,-1.51986,1
81,20,1.34162,-1.51986,1
82,20,1.39162,-1.51986,1
83,20,1.44162,-1.51986,1
100,20,2.29162,-1.51986,1
101,20,2.34162,-1.51986,1
102,20,2.39162,-1.51986,1
103,20,2.44162,-1.51986,1
104,20,2.49162,-1.51986,1
105,20,2.54162,-1.51986,1
106,20,2.59162,-1.51986,1
107,20,2.64162,-1.51986,1
108,20,2.69162,-1.51986,1
109,20,2.74162,-1.51986,1
