x,y,z
2.12432,-0.0591836,0.221066
1.87166,-0.0133733,0.186642
1.69609,0.018356,0.160865
3.30538,-1.53648,0.910937
3.32839,-1.54961,0.825169
3.43129,-1.61361,0.752936
3.43412,-1.61379,0.660395
3.43488,-1.61264,0.568084
3.44202,-1.61549,0.47676
3.43956,-1.6122,0.384885
3.44268,-1.6124,0.293531
1.37928,-1.0083,0.328413
1.4394,-1.08812,0.291702
2.01824,-1.9071,0.257136
2.02324,-1.90318,0.188249
0.802345,-0.924637,0.213909
0.80406,-0.913919,0.182879
0.802775,-0.891811,0.15313
0.444295,1.67687,0.177012
0.219895,-1.64871,0.165465
0.863933,1.18732,0.1617
0.853926,1.17143,0.188918
0.850727,1.17356,0.214698
0.850721,1.18444,0.240537
0.852803,1.21276,0.294257
0.0960819,-0.480039,0.152373
2.25015,2.21343,0.193417
1.24591,1.08213,0.247116
1.3529,1.20936,0.282391
1.317,1.17358,0.312925
3.44104,1.65734,0.152203
3.44049,1.66088,0.237831
3.42985,1.65947,0.323218
3.42531,1.66096,0.408555
3.41877,1.66143,0.493775
3.41023,1.66089,0.578819
3.3997,1.65934,0.663628
3.39515,1.66071,0.749561
3.38942,1.66151,0.83579
3.65868,0.450403,0.188497
3.66904,0.447174,0.271648
3.69615,0.44494,0.356016
3.70209,0.441235,0.440603
3.71573,0.437934,0.526474
3.70724,0.433193,0.610861
2.99697,0.386757,0.594237
2.60013,0.360366,0.593579
2.48439,0.350938,0.627642
2.51155,0.349691,0.688172
1.98543,-0.209606,0.216233
1.73037,-0.137369,0.252827
1.65273,-0.118131,0.283124
1.66887,-0.127738,0.315847
1.63759,-0.122455,0.345027
1.75318,-0.16421,0.391066
3.5229,-0.74573,0.696998
3.50675,-0.752851,0.779558
3.50713,-0.765518,0.865646
3.50519,-0.777577,0.952317
2.72394,-1.53855,0.187829
2.66342,-1.53168,0.332136
2.6358,-1.52997,0.402643
2.6061,-1.52629,0.47197
2.57515,-1.52129,0.540106
2.55126,-1.52208,0.608518
2.52532,-1.52098,0.676049
2.49811,-1.51863,0.742768
1.56573,-1.68064,0.177783
1.45713,-1.51635,0.233216
1.18826,-1.04732,0.270108
1.11752,-0.958666,0.335571
1.09801,-0.942923,0.367553
0.588402,-0.464124,0.176315
0.587291,-0.50471,0.191995
0.582182,-0.516165,0.210496
0.572242,-0.547531,0.249222
0.565486,-0.547498,0.269017
0.604965,1.16112,0.18536
0.613918,1.16859,0.161719
0.988375,1.17471,0.296553
1.00127,1.18057,0.270678
1.3081,0.94458,0.405512
1.40583,1.00666,0.362948
1.54188,1.10785,0.346889
2.02985,1.49113,0.348649
1.91746,1.38416,0.293414
1.94866,1.39301,0.247502
1.96409,1.38913,0.20044
1.97857,1.38438,0.152888
3.84806,1.29468,0.987746
3.85191,1.27763,0.893257
3.84469,1.25745,0.797891
3.90898,1.25869,0.714051
3.9055,1.23979,0.619902
3.90907,1.22313,0.527333
3.90156,1.2035,0.434561
3.0141,0.929584,0.2471
2.9404,0.897436,0.181434
1.79024,0.154317,0.534226
1.78759,0.151075,0.49835
1.78493,0.147886,0.462979
1.78033,0.144911,0.427764
1.78465,0.141226,0.394162
1.79801,0.13675,0.36142
1.80058,0.13322,0.327359
1.81122,0.128952,0.293636
2.01802,0.105764,0.263099
2.00793,0.103004,0.223337
