ix,iy,x,y,occupied
37,11,1.01662,-1.39486,1
38,11,1.11662,-1.39486,1
39,11,1.21662,-1.39486,1
41,11,1.41662,-1.39486,1
42,11,1.51662,-1.39486,1
56,11,2.91662,-1.39486,1
59,11,3.21662,-1.39486,1
60,11,3.31662,-1.39486,1
61,11,3.41662,-1.39486,1
62,11,3.51662,-1.39486,1
6,12,-2.08338,-1.29486,1
7,12,-1.98338,-1.29486,1
11,12,-1.58338,-1.29486,1
12,12,-1.48338,-1.29486,1
17,12,-0.98338,-1.29486,1
19,12,-0.78338,-1.29486,1
20,12,-0.68338,-1.29486,1
21,12,-0.58338,-1.29486,1
23,12,-0.38338,-1.29486,1
31,12,0.41662,-1.29486,1
32,12,0.51662,-1.29486,1
33,12,0.61662,-1.29486,1
36,12,0.91662,-1.29486,1
37,12,1.01662,-1.29486,1
38,12,1.11662,-1.29486,1
39,12,1.21662,-1.29486,1
40,12,1.31662,-1.29486,1
41,12,1.41662,-1.29486,1
42,12,1.51662,-1.29486,1
52,12,2.51662,-1.29486,1
54,12,2.71662,-1.29486,1
55,12,2.81662,-1.29486,1
58,12,3.11662,-1.29486,1
59,12,3.21662,-1.29486,1
60,12,3.31662,-1.29486,1
61,12,3.41662,-1.29486,1
62,12,3.51662,-1.29486,1
5,13,-2.18338,-1.19486,1
6,13,-2.08338,-1.19486,1
7,13,-1.98338,-1.19486,1
9,13,-1.78338,-1.19486,1
10,13,-1.68338,-1.19486,1
12,13,-1.48338,-1.19486,1
32,13,0.51662,-1.19486,1
34,13,0.71662,-1.19486,1
36,13,0.91662,-1.19486,1
37,13,1.01662,-1.19486,1
38,13,1.11662,-1.19486,1
39,13,1.21662,-1.19486,1
40,13,1.31662,-1.19486,1
41,13,1.41662,-1.19486,1
52,13,2.51662,-1.19486,1
53,13,2.61662,-1.19486,1
60,13,3.31662,-1.19486,1
61,13,3.41662,-1.19486,1
62,13,3.51662,-1.19486,1
5,14,-2.18338,-1.09486,1
6,14,-2.08338,-1.09486,1
10,14,-1.68338,-1.09486,1
11,14,-1.58338,-1.09486,1
12,14,-1.48338,-1.09486,1
21,14,-0.58338,-1.09486,1
34,14,0.71662,-1.09486,1
36,14,0.91662,-1.09486,1
37,14,1.01662,-1.09486,1
38,14,1.11662,-1.09486,1
39,14,1.21662,-1.09486,1
40,14,1.31662,-1.09486,1
41,14,1.41662,-1.09486,1
42,14,1.51662,-1.09486,1
43,14,1.61662,-1.09486,1
52,14,2.51662,-1.09486,1
54,14,2.71662,-1.09486,1
56,14,2.91662,-1.09486,1
60,14,3.31662,-1.09486,1
61,14,3.41662,-1.09486,1
62,14,3.51662,-1.09486,1
5,15,-2.18338,-0.99486,1
6,15,-2.08338,-0.99486,1
